Accuracy,Time,Condition
0.976,2500,Control
0.774,2500,Control
0.978,2500,Control
0.887,2500,Control
0.957,2500,Control
0.879,2500,Control
0.857,2500,Control
1.0,2500,Control
0.818,2500,Control
0.919,2500,Control
0.942,2500,Control
0.979,2500,Control
0.868,2500,Control
0.828,2500,Control
0.939,2500,Control
0.928,2500,Control
0.798,2500,Control
0.961,2500,Control
0.888,2500,Control
0.922,2500,Control
0.8,2500,Control
0.816,2500,Control
0.891,2500,Control
0.944,2500,Control
0.915,2500,Control
0.818,2500,Control
0.837,2500,Control
0.816,2500,Control
0.879,2500,Control
0.893,2500,Control
0.992,2500,Control
0.916,2500,Control
1.0,2500,Control
1.0,2500,Control
0.967,2500,Control
0.985,2500,Control
0.902,2500,Control
0.963,2500,Control
0.836,2500,Control
0.984,2500,Control
0.932,2500,Control
0.917,2500,Control
0.755,2500,Control
1.0,2500,Control
0.926,2500,Control
0.985,2500,Control
0.966,2500,Control
0.74,2500,Control
0.949,2500,Control
1.0,2500,Control
0.931,2500,Control
0.979,2500,Control
0.857,2500,Control
0.892,2500,Control
0.978,2500,Control
0.979,2500,Control
0.892,2500,Control
0.931,2500,Control
0.919,2500,Control
0.847,2500,Control
0.989,2500,Control
0.937,2500,Control
0.908,2500,Control
0.837,2500,Control
0.902,2500,Control
0.799,2500,Control
0.98,2500,Control
0.961,2500,Control
0.856,2500,Control
0.994,2500,Control
0.752,2500,Control
0.944,2500,Control
0.997,2500,Control
0.924,2500,Control
0.867,2500,Control
0.772,2500,Control
0.652,2500,Control
0.818,2500,Control
1.0,2500,Control
0.9,2500,Control
1.0,2500,Control
0.979,2500,Control
0.988,2500,Control
0.99,2500,Control
0.916,2500,Control
0.963,2500,Control
0.9,2500,Control
0.877,2500,Control
0.979,2500,Control
0.925,2500,Control
0.915,2500,Control
0.867,2500,Control
0.943,2500,Control
0.965,2500,Control
0.989,2500,Control
0.888,2500,Control
0.912,2500,Control
0.976,2500,Control
1.0,2500,Control
0.901,2500,Control
0.827,2500,Control
0.821,2500,Control
0.928,2500,Control
0.872,2500,Control
0.837,2500,Control
0.828,2500,Control
0.932,2500,Control
0.979,2500,Control
0.8,2500,Control
0.985,2500,Control
1.0,2500,Control
0.807,2500,Control
0.932,2500,Control
0.785,2500,Control
0.924,2500,Control
0.931,2500,Control
0.691,2500,Control
0.99,2500,Control
0.973,2500,Control
0.969,2500,Control
0.872,2500,Control
0.608,2500,Control
0.886,2500,Control
0.982,2500,Control
0.877,2500,Control
0.914,2500,Control
0.931,2500,Control
0.772,2500,Control
0.961,2500,Control
0.993,2500,Control
0.985,2500,Control
0.832,2500,Control
0.91,2500,Control
0.993,2500,Control
0.785,2500,Control
0.973,2500,Control
1.0,2500,Control
0.99,2500,Control
0.973,2500,Control
0.985,2500,Control
0.816,2500,Control
0.943,2500,Control
0.898,2500,Control
0.832,2500,Control
0.928,2500,Control
0.925,2500,Control
0.818,2500,Control
0.995,2500,Control
0.996,2500,Control
0.837,2500,Control
0.747,2500,Control
0.921,2500,Control
0.915,2500,Control
0.816,2500,Control
0.942,2500,Control
0.992,2500,Control
0.98,2500,Control
0.932,2500,Control
0.952,2500,Control
0.961,2500,Control
0.815,2500,Control
0.931,2500,Control
0.78,2500,Control
0.915,2500,Control
0.878,2500,Control
0.99,2500,Control
0.936,2500,Control
0.856,2500,Control
0.832,2500,Control
0.908,2500,Control
0.922,2500,Control
0.752,2500,Control
0.98,2500,Control
0.772,2500,Control
0.99,2500,Control
0.855,2500,Control
0.872,2500,Control
0.998,2500,Control
0.987,2500,Control
0.974,2500,Control
0.855,2500,Control
0.877,2500,Control
0.803,2500,Control
0.879,2500,Control
0.976,2500,Control
0.888,2500,Control
0.933,2500,Control
0.917,2500,Control
0.872,2500,Control
0.943,2500,Control
1.0,2500,Control
0.919,2500,Control
0.865,2500,Control
0.652,2500,Control
0.843,2500,Control
0.968,2500,Control
0.888,2500,Control
0.963,2500,Control
0.924,2500,Control
0.9,2500,Control
0.958,2500,Control
0.9,2500,Control
0.945,2500,Control
0.978,2500,Control
0.847,2500,Control
0.993,2500,Control
0.917,2500,Control
0.944,2500,Control
0.691,2500,Control
0.895,2500,Control
0.766,2500,Control
0.8,2500,Control
0.944,2500,Control
0.908,2500,Control
0.965,2500,Control
0.856,2500,Control
0.908,2500,Control
0.838,2500,Control
0.739,2500,Control
1.0,2500,Control
0.979,2500,Control
0.8,2500,Control
0.992,2500,Control
0.747,2500,Control
0.985,2500,Control
0.961,2500,Control
0.9,2500,Control
0.886,2500,Control
0.912,2500,Control
0.81,2500,Control
0.963,2500,Control
0.924,2500,Control
0.936,2500,Control
0.976,2500,Control
0.774,2500,Control
0.936,2500,Control
0.976,2500,Control
0.941,2500,Control
0.912,2500,Control
0.815,2500,Control
1.0,2500,Control
0.928,2500,Control
0.928,2500,Control
0.8,2500,Control
0.932,2500,Control
0.856,2500,Control
0.8,2500,Control
0.997,2500,Control
0.985,2500,Control
1.0,2500,Control
0.945,2500,Control
0.872,2500,Control
0.937,2500,Control
1.0,2500,Control
0.992,2500,Control
0.807,2500,Control
0.944,2500,Control
0.921,2500,Control
0.99,2500,Control
0.935,2500,Control
0.893,2500,Control
0.877,2500,Control
0.833,2500,Control
0.803,2500,Control
0.974,2500,Control
0.989,2500,Control
0.911,2500,Control
0.817,2500,Control
0.842,2500,Control
1.0,2500,Control
0.785,2500,Control
0.987,2500,Control
0.998,2500,Control
0.984,2500,Control
0.739,2500,Control
0.875,2500,Control
0.925,2500,Control
0.816,2500,Control
0.86,2500,Control
0.941,2500,Control
0.908,2500,Control
0.902,2500,Control
0.74,2500,Control
0.99,2500,Control
0.855,2500,Control
0.798,2500,Control
0.948,2500,Control
0.901,2500,Control
0.817,2500,Control
1.0,2500,Control
0.926,2500,Control
0.973,2500,Control
0.942,2500,Control
0.8,2500,Control
0.903,2500,Control
0.943,2500,Control
0.945,2500,Control
0.785,2500,Control
0.844,2500,Control
0.945,2500,Control
0.838,2500,Control
0.888,2500,Control
0.8,2500,Control
0.961,2500,Control
0.931,2500,Control
0.977,2500,Control
0.912,2500,Control
1.0,2500,Control
0.975,2500,Control
0.803,2500,Control
0.681,2500,Control
0.888,2500,Control
0.803,2500,Control
0.965,2500,Control
0.986,2500,Control
0.957,2500,Control
1.0,2500,Control
0.816,2500,Control
0.631,2700,Control
0.57,2700,Control
0.795,2700,Control
0.847,2700,Control
0.691,2700,Control
0.647,2700,Control
0.841,2700,Control
0.734,2700,Control
0.854,2700,Control
0.676,2700,Control
0.805,2700,Control
0.613,2700,Control
0.683,2700,Control
0.797,2700,Control
0.585,2700,Control
0.811,2700,Control
0.774,2700,Control
0.759,2700,Control
0.817,2700,Control
0.706,2700,Control
0.697,2700,Control
0.816,2700,Control
0.609,2700,Control
0.842,2700,Control
0.798,2700,Control
0.691,2700,Control
0.741,2700,Control
0.682,2700,Control
0.701,2700,Control
0.661,2700,Control
0.834,2700,Control
0.726,2700,Control
0.833,2700,Control
0.741,2700,Control
0.839,2700,Control
0.811,2700,Control
0.799,2700,Control
0.847,2700,Control
0.841,2700,Control
0.72,2700,Control
0.792,2700,Control
0.672,2700,Control
0.847,2700,Control
0.847,2700,Control
0.728,2700,Control
0.834,2700,Control
0.672,2700,Control
0.76,2700,Control
0.646,2700,Control
0.827,2700,Control
0.802,2700,Control
0.687,2700,Control
0.825,2700,Control
0.672,2700,Control
0.668,2700,Control
0.709,2700,Control
0.828,2700,Control
0.77,2700,Control
0.844,2700,Control
0.858,2700,Control
0.775,2700,Control
0.731,2700,Control
0.797,2700,Control
0.796,2700,Control
0.728,2700,Control
0.705,2700,Control
0.823,2700,Control
0.709,2700,Control
0.728,2700,Control
0.798,2700,Control
0.842,2700,Control
0.756,2700,Control
0.656,2700,Control
0.858,2700,Control
0.871,2700,Control
0.818,2700,Control
0.631,2700,Control
0.707,2700,Control
0.712,2700,Control
0.826,2700,Control
0.798,2700,Control
0.621,2700,Control
0.838,2700,Control
0.664,2700,Control
0.851,2700,Control
0.815,2700,Control
0.777,2700,Control
0.75,2700,Control
0.741,2700,Control
0.611,2700,Control
0.717,2700,Control
0.806,2700,Control
0.717,2700,Control
0.729,2700,Control
0.836,2700,Control
0.687,2700,Control
0.57,2700,Control
0.647,2700,Control
0.768,2700,Control
0.63,2700,Control
0.826,2700,Control
0.685,2700,Control
0.863,2700,Control
0.733,2700,Control
0.77,2700,Control
0.818,2700,Control
0.656,2700,Control
0.85,2700,Control
0.834,2700,Control
0.664,2700,Control
0.719,2700,Control
0.76,2700,Control
0.817,2700,Control
0.76,2700,Control
0.832,2700,Control
0.705,2700,Control
0.795,2700,Control
0.812,2700,Control
0.847,2700,Control
0.75,2700,Control
0.862,2700,Control
0.863,2700,Control
0.713,2700,Control
0.631,2700,Control
0.756,2700,Control
0.816,2700,Control
0.841,2700,Control
0.627,2700,Control
0.697,2700,Control
0.589,2700,Control
0.677,2700,Control
0.858,2700,Control
0.713,2700,Control
0.746,2700,Control
0.827,2700,Control
0.733,2700,Control
0.687,2700,Control
0.675,2700,Control
0.682,2700,Control
0.838,2700,Control
0.834,2700,Control
0.851,2700,Control
0.734,2700,Control
0.707,2700,Control
0.77,2700,Control
0.687,2700,Control
0.75,2700,Control
0.766,2700,Control
0.57,2700,Control
0.863,2700,Control
0.717,2700,Control
0.691,2700,Control
0.624,2700,Control
0.817,2700,Control
0.76,2700,Control
0.764,2700,Control
0.717,2700,Control
0.691,2700,Control
0.585,2700,Control
0.838,2700,Control
0.863,2700,Control
0.661,2700,Control
0.582,2700,Control
0.51,2700,Control
0.545,2700,Control
0.656,2700,Control
0.647,2700,Control
0.803,2700,Control
0.796,2700,Control
0.845,2700,Control
0.832,2700,Control
0.779,2700,Control
0.788,2700,Control
0.843,2700,Control
0.775,2700,Control
0.832,2700,Control
0.718,2700,Control
0.726,2700,Control
0.813,2700,Control
0.718,2700,Control
0.585,2700,Control
0.818,2700,Control
0.609,2700,Control
0.545,2700,Control
0.823,2700,Control
0.71,2700,Control
0.701,2700,Control
0.725,2700,Control
0.62,2700,Control
0.728,2700,Control
0.832,2700,Control
0.817,2700,Control
0.863,2700,Control
0.682,2700,Control
0.584,2700,Control
0.788,2700,Control
0.823,2700,Control
0.868,2700,Control
0.789,2700,Control
0.656,2700,Control
0.834,2700,Control
0.838,2700,Control
0.714,2700,Control
0.823,2700,Control
0.624,2700,Control
0.849,2700,Control
0.631,2700,Control
0.82,2700,Control
0.717,2700,Control
0.713,2700,Control
0.807,2700,Control
0.795,2700,Control
0.724,2700,Control
0.792,2700,Control
0.858,2700,Control
0.74,2700,Control
0.709,2700,Control
0.715,2700,Control
0.705,2700,Control
0.858,2700,Control
0.858,2700,Control
0.697,2700,Control
0.621,2700,Control
0.851,2700,Control
0.717,2700,Control
0.774,2700,Control
0.724,2700,Control
0.647,2700,Control
0.87,2700,Control
0.834,2700,Control
0.741,2700,Control
0.595,2700,Control
0.75,2700,Control
0.805,2700,Control
0.823,2700,Control
0.744,2700,Control
0.718,2700,Control
0.683,2700,Control
0.827,2700,Control
0.731,2700,Control
0.778,2700,Control
0.795,2700,Control
0.828,2700,Control
0.746,2700,Control
0.832,2700,Control
0.705,2700,Control
0.843,2700,Control
0.673,2700,Control
0.628,2700,Control
0.817,2700,Control
0.661,2700,Control
0.862,2700,Control
0.707,2700,Control
0.656,2700,Control
0.764,2700,Control
0.729,2700,Control
0.923,2700,Control
0.844,2700,Control
0.676,2700,Control
0.717,2700,Control
0.697,2700,Control
0.683,2700,Control
0.725,2700,Control
0.647,2700,Control
0.805,2700,Control
0.774,2700,Control
0.705,2700,Control
0.845,2700,Control
0.656,2700,Control
0.719,2700,Control
0.57,2700,Control
0.734,2700,Control
0.741,2700,Control
0.843,2700,Control
0.719,2700,Control
0.62,2700,Control
0.582,2700,Control
0.653,2700,Control
0.67,2700,Control
0.689,2700,Control
0.683,2700,Control
0.676,2700,Control
0.72,2700,Control
0.798,2700,Control
0.582,2700,Control
0.717,2700,Control
0.609,2700,Control
0.766,2700,Control
0.685,2700,Control
0.839,2700,Control
0.792,2700,Control
0.646,2700,Control
0.836,2700,Control
0.812,2700,Control
0.831,2700,Control
0.871,2700,Control
0.85,2700,Control
0.808,2700,Control
0.599,2700,Control
0.709,2700,Control
0.713,2700,Control
0.813,2700,Control
0.718,2700,Control
0.72,2700,Control
0.75,2700,Control
0.664,2700,Control
0.766,2700,Control
0.843,2700,Control
0.584,2700,Control
0.82,2700,Control
0.836,2700,Control
0.758,2700,Control
0.705,2700,Control
0.716,2700,Control
0.776,2700,Control
0.77,2700,Control
0.795,2700,Control
0.604,2700,Control
0.792,2700,Control
0.716,2700,Control
0.806,2700,Control
0.826,2700,Control
0.777,2700,Control
0.817,2700,Control
0.872,2700,Control
0.582,2700,Control
0.677,2700,Control
0.582,2700,Control
0.834,2700,Control
0.854,2700,Control
0.715,2700,Control
0.759,2700,Control
0.802,2700,Control
0.834,2700,Control
0.847,2700,Control
0.697,2700,Control
0.843,2700,Control
0.726,2700,Control
0.707,2700,Control
0.707,2700,Control
0.685,2700,Control
0.687,2700,Control
0.685,2700,Control
0.756,2700,Control
0.69,2700,Control
0.654,2700,Control
0.627,2700,Control
0.63,2700,Control
0.812,2700,Control
0.835,2700,Control
0.682,2700,Control
0.802,2700,Control
0.816,2700,Control
0.611,2700,Control
0.811,2700,Control
0.628,2700,Control
0.758,2700,Control
0.779,2700,Control
0.823,2700,Control
0.626,2700,Control
0.728,2700,Control
0.741,2700,Control
0.744,2700,Control
0.817,2700,Control
0.706,2700,Control
0.672,2700,Control
0.808,2700,Control
0.76,2700,Control
0.765,2700,Control
0.683,2700,Control
0.689,2700,Control
0.734,2700,Control
0.835,2700,Control
0.779,2700,Control
0.842,2700,Control
0.746,2700,Control
0.741,2700,Control
0.724,2700,Control
0.854,2700,Control
0.712,2700,Control
0.697,2700,Control
0.661,2700,Control
0.714,2700,Control
0.842,2700,Control
0.741,2700,Control
0.741,2700,Control
0.705,2700,Control
0.807,2700,Control
0.71,2700,Control
0.677,2700,Control
0.821,2700,Control
0.836,2700,Control
0.73,2700,Control
0.656,2700,Control
0.654,2700,Control
0.604,2700,Control
0.697,2700,Control
0.611,2700,Control
0.69,2700,Control
0.73,2700,Control
0.768,2700,Control
0.677,2700,Control
0.815,2700,Control
0.709,2700,Control
0.712,2700,Control
0.87,2700,Control
0.841,2700,Control
0.808,2700,Control
0.626,2700,Control
0.841,2700,Control
0.802,2700,Control
0.834,2700,Control
0.626,2700,Control
0.731,2700,Control
0.697,2700,Control
0.709,2700,Control
0.746,2700,Control
0.87,2700,Control
0.811,2700,Control
0.604,2700,Control
0.71,2700,Control
0.821,2700,Control
0.756,2700,Control
0.621,2700,Control
0.803,2700,Control
0.705,2700,Control
0.844,2700,Control
0.676,2700,Control
0.582,2700,Control
0.805,2700,Control
0.825,2700,Control
0.823,2700,Control
0.792,2700,Control
0.676,2700,Control
0.82,2700,Control
0.691,2700,Control
0.776,2700,Control
0.726,2700,Control
0.858,2700,Control
0.77,2700,Control
0.545,2700,Control
0.818,2700,Control
0.734,2700,Control
0.657,2700,Control
0.774,2700,Control
0.832,2700,Control
0.87,2700,Control
0.64,2700,Control
0.858,2700,Control
0.82,2700,Control
0.808,2700,Control
0.599,2700,Control
0.854,2700,Control
0.728,2700,Control
0.849,2700,Control
0.815,2700,Control
0.707,2700,Control
0.724,2700,Control
0.685,2700,Control
0.759,2700,Control
0.624,2700,Control
0.646,2700,Control
0.835,2700,Control
0.656,2700,Control
0.724,2700,Control
0.682,2700,Control
0.836,2700,Control
0.7,2700,Control
0.854,2700,Control
0.827,2700,Control
0.707,2700,Control
0.64,2700,Control
0.805,2700,Control
0.743,2700,Control
0.683,2700,Control
0.657,2700,Control
0.683,2700,Control
0.705,2700,Control
0.839,2700,Control
0.835,2700,Control
0.621,2700,Control
0.817,2700,Control
0.717,2700,Control
0.77,2700,Control
0.788,2700,Control
0.854,2700,Control
0.672,2700,Control
0.717,2700,Control
0.823,2700,Control
0.741,2700,Control
0.827,2700,Control
0.74,2700,Control
0.712,2700,Control
0.776,2700,Control
0.609,2700,Control
0.841,2700,Control
0.858,2700,Control
0.854,2700,Control
0.631,2700,Control
0.811,2700,Control
0.693,2700,Control
0.858,2700,Control
0.73,2700,Control
0.817,2700,Control
0.849,2700,Control
0.657,2700,Control
0.789,2700,Control
0.851,2700,Control
0.799,2700,Control
0.716,2700,Control
0.854,2700,Control
0.835,2700,Control
0.843,2700,Control
0.731,2700,Control
0.653,2700,Control
0.858,2700,Control
0.815,2700,Control
0.803,2700,Control
0.647,2700,Control
0.766,2700,Control
0.676,2700,Control
0.701,2700,Control
0.709,2700,Control
0.779,2700,Control
0.753,2700,Control
0.647,2700,Control
0.858,2700,Control
0.743,2700,Control
0.683,2700,Control
0.718,2700,Control
0.854,2700,Control
0.611,2700,Control
0.821,2700,Control
0.823,2700,Control
0.731,2700,Control
0.731,2700,Control
0.802,2700,Control
0.64,2700,Control
0.855,2700,Control
0.705,2700,Control
0.69,2700,Control
0.742,2700,Control
0.838,2700,Control
0.835,2700,Control
0.705,2700,Control
0.654,2700,Control
0.753,2700,Control
0.741,2700,Control
0.826,2700,Control
0.859,2700,Control
0.675,2700,Control
0.795,2700,Control
0.823,2700,Control
0.828,2700,Control
0.815,2700,Control
0.697,2700,Control
0.72,2700,Control
0.836,2700,Control
0.707,2700,Control
0.827,2700,Control
0.725,2700,Control
0.689,2700,Control
0.71,2700,Control
0.713,2700,Control
0.731,2700,Control
0.713,2700,Control
0.803,2700,Control
0.687,2700,Control
0.717,2700,Control
0.788,2700,Control
0.832,2700,Control
0.656,2700,Control
0.741,2700,Control
0.781,2700,Control
0.672,2700,Control
0.693,2700,Control
0.733,2700,Control
0.664,2700,Control
0.676,2700,Control
0.758,2700,Control
0.756,2700,Control
0.818,2700,Control
0.676,2700,Control
0.57,2700,Control
0.668,2700,Control
0.82,2700,Control
0.584,2700,Control
0.787,2700,Control
0.744,2700,Control
0.796,2700,Control
0.803,2700,Control
0.834,2700,Control
0.589,2700,Control
0.676,2700,Control
0.834,2700,Control
0.854,2700,Control
0.689,2700,Control
0.584,2700,Control
0.741,2700,Control
0.822,2700,Control
0.624,2700,Control
0.696,2700,Control
0.833,2700,Control
0.851,2700,Control
0.685,2700,Control
0.858,2700,Control
0.76,2700,Control
0.836,2700,Control
0.598,2700,Control
0.76,2700,Control
0.599,2700,Control
0.709,2700,Control
0.822,2700,Control
0.813,2700,Control
0.768,2700,Control
0.858,2700,Control
0.832,2700,Control
0.844,2700,Control
0.753,2700,Control
0.777,2700,Control
0.788,2700,Control
0.724,2700,Control
0.687,2700,Control
0.71,2700,Control
0.691,2700,Control
0.687,2700,Control
0.788,2700,Control
0.626,2700,Control
0.706,2700,Control
0.654,2700,Control
0.705,2700,Control
0.584,2700,Control
0.872,2700,Control
0.775,2700,Control
0.716,2700,Control
0.677,2700,Control
0.75,2700,Control
0.854,2700,Control
0.621,2700,Control
0.75,2700,Control
0.582,2700,Control
0.713,2700,Control
0.841,2700,Control
0.647,2700,Control
0.718,2700,Control
0.706,2700,Control
0.817,2700,Control
0.835,2700,Control
0.741,2700,Control
0.589,2700,Control
0.718,2700,Control
0.672,2700,Control
0.774,2700,Control
0.838,2700,Control
0.759,2700,Control
0.835,2700,Control
0.834,2700,Control
0.741,2700,Control
0.847,2700,Control
0.774,2700,Control
0.777,2700,Control
0.545,2700,Control
0.721,2700,Control
0.817,2700,Control
0.661,2700,Control
0.858,2700,Control
0.77,2700,Control
0.858,2700,Control
0.728,2700,Control
0.745,2700,Control
0.831,2700,Control
0.868,2700,Control
0.795,2700,Control
0.647,2700,Control
0.787,2700,Control
0.705,2700,Control
0.812,2700,Control
0.67,2700,Control
0.847,2700,Control
0.75,2700,Control
0.803,2700,Control
0.827,2700,Control
0.832,2700,Control
0.82,2700,Control
0.756,2700,Control
0.693,2700,Control
0.631,2700,Control
0.836,2700,Control
0.717,2700,Control
0.626,2700,Control
0.733,2700,Control
0.858,2700,Control
0.812,2700,Control
0.813,2700,Control
0.718,2700,Control
0.664,2700,Control
0.683,2700,Control
0.697,2700,Control
0.717,2700,Control
0.709,2700,Control
0.845,2700,Control
0.834,2700,Control
0.764,2700,Control
0.676,2700,Control
0.709,2700,Control
0.589,2700,Control
0.57,2700,Control
0.807,2700,Control
0.843,2700,Control
0.851,2700,Control
0.827,2700,Control
0.718,2700,Control
0.69,2700,Control
0.7,2700,Control
0.582,2700,Control
0.677,2700,Control
0.776,2700,Control
0.789,2700,Control
0.604,2700,Control
0.815,2700,Control
0.841,2700,Control
0.817,2700,Control
0.671,2700,Control
0.817,2700,Control
0.668,2700,Control
0.811,2700,Control
0.709,2700,Control
0.71,2700,Control
0.862,2700,Control
0.796,2700,Control
0.745,2700,Control
0.707,2700,Control
0.656,2700,Control
0.777,2700,Control
0.744,2700,Control
0.624,2700,Control
0.721,2700,Control
0.675,2700,Control
0.854,2700,Control
0.854,2700,Control
0.582,2700,Control
0.821,2700,Control
0.687,2700,Control
0.841,2700,Control
0.647,2700,Control
0.815,2700,Control
0.719,2700,Control
0.672,2700,Control
0.836,2700,Control
0.858,2700,Control
0.753,2700,Control
0.835,2700,Control
0.816,2700,Control
0.766,2700,Control
0.847,2700,Control
0.803,2700,Control
0.743,2700,Control
0.715,2700,Control
0.756,2700,Control
0.816,2700,Control
0.85,2700,Control
0.858,2700,Control
0.685,2700,Control
0.744,2700,Control
0.843,2700,Control
0.687,2700,Control
0.707,2700,Control
0.589,2700,Control
0.812,2700,Control
0.676,2700,Control
0.738,2700,Control
0.627,2700,Control
0.676,2700,Control
0.803,2700,Control
0.858,2700,Control
0.851,2700,Control
0.738,2700,Control
0.731,2700,Control
0.63,2700,Control
0.776,2700,Control
0.76,2700,Control
0.756,2700,Control
0.57,2700,Control
0.872,2700,Control
0.705,2700,Control
0.682,2700,Control
0.787,2700,Control
0.595,2700,Control
0.613,2700,Control
0.697,2700,Control
0.811,2700,Control
0.656,2700,Control
0.585,2700,Control
0.872,2700,Control
0.689,2700,Control
0.785,2700,Control
0.836,2700,Control
0.77,2700,Control
0.721,2700,Control
0.628,2700,Control
0.638,2700,Control
0.738,2700,Control
0.756,2700,Control
0.785,2700,Control
0.816,2700,Control
0.613,2700,Control
0.715,2700,Control
0.717,2700,Control
0.729,2700,Control
0.836,2700,Control
0.851,2700,Control
0.811,2700,Control
0.838,2700,Control
0.759,2700,Control
0.781,2700,Control
0.841,2700,Control
0.73,2700,Control
0.821,2700,Control
0.817,2700,Control
0.813,2700,Control
0.741,2700,Control
0.787,2700,Control
0.834,2700,Control
0.705,2700,Control
0.677,2700,Control
0.685,2700,Control
0.765,2700,Control
0.792,2700,Control
0.845,2700,Control
0.664,2700,Control
0.835,2700,Control
0.728,2700,Control
0.726,2700,Control
0.726,2700,Control
0.839,2700,Control
0.584,2700,Control
0.717,2700,Control
0.808,2700,Control
0.744,2700,Control
0.687,2700,Control
0.734,2700,Control
0.64,2700,Control
0.672,2700,Control
0.787,2700,Control
0.754,2700,Control
0.855,2700,Control
0.74,2700,Control
0.712,2700,Control
0.778,2700,Control
0.795,2700,Control
0.825,2700,Control
0.741,2700,Control
0.817,2700,Control
0.733,2700,Control
0.863,2700,Control
0.682,2700,Control
0.604,2700,Control
0.832,2700,Control
0.709,2700,Control
0.728,2700,Control
0.834,2700,Control
0.654,2700,Control
0.647,2700,Control
0.709,2700,Control
0.77,2700,Control
0.682,2700,Control
0.768,2700,Control
0.811,2700,Control
0.849,2700,Control
0.841,2700,Control
0.62,2700,Control
0.843,2700,Control
0.753,2700,Control
0.87,2700,Control
0.842,2700,Control
0.705,2700,Control
0.817,2700,Control
0.851,2700,Control
0.717,2700,Control
0.746,2700,Control
0.858,2700,Control
0.707,2700,Control
0.838,2700,Control
0.608,2700,Control
0.839,2700,Control
0.621,2700,Control
0.854,2700,Control
0.627,2700,Control
0.836,2700,Control
0.841,2700,Control
0.638,2700,Control
0.712,2700,Control
0.788,2700,Control
0.676,2700,Control
0.759,2700,Control
0.693,2700,Control
0.7,2700,Control
0.843,2700,Control
0.683,2700,Control
0.822,2700,Control
0.858,2700,Control
0.647,2700,Control
0.725,2700,Control
0.718,2700,Control
0.817,2700,Control
0.797,2700,Control
0.744,2700,Control
0.76,2700,Control
0.741,2700,Control
0.785,2700,Control
0.638,2700,Control
0.836,2700,Control
0.789,2700,Control
0.726,2700,Control
0.725,2700,Control
0.719,2700,Control
0.646,2700,Control
0.654,2700,Control
0.63,2700,Control
0.676,2700,Control
0.714,2700,Control
0.716,2700,Control
0.73,2700,Control
0.656,2700,Control
0.696,2700,Control
0.77,2700,Control
0.795,2700,Control
0.85,2700,Control
0.705,2700,Control
0.858,2700,Control
0.582,2700,Control
0.778,2700,Control
0.712,2700,Control
0.696,2700,Control
0.7,2700,Control
0.672,2700,Control
0.744,2700,Control
0.675,2700,Control
0.741,2700,Control
0.718,2700,Control
0.74,2700,Control
0.654,2700,Control
0.815,2700,Control
0.827,2700,Control
0.835,2700,Control
0.689,2700,Control
0.626,2700,Control
0.693,2700,Control
0.57,2700,Control
0.668,2700,Control
0.699,2700,Control
0.855,2700,Control
0.833,2700,Control
0.854,2700,Control
0.805,2700,Control
0.781,2700,Control
0.611,2700,Control
0.653,2700,Control
0.807,2700,Control
0.689,2700,Control
0.805,2700,Control
0.815,2700,Control
0.847,2700,Control
0.844,2700,Control
0.868,2700,Control
0.726,2700,Control
0.841,2700,Control
0.82,2700,Control
0.734,2700,Control
0.82,2700,Control
0.664,2700,Control
0.73,2700,Control
0.815,2700,Control
0.842,2700,Control
0.728,2700,Control
0.728,2700,Control
0.746,2700,Control
0.51,2700,Control
0.728,2700,Control
0.69,2700,Control
0.647,2700,Control
0.647,2700,Control
0.672,2700,Control
0.851,2700,Control
0.712,2700,Control
0.777,2700,Control
0.843,2700,Control
0.67,2700,Control
0.821,2700,Control
0.609,2700,Control
0.73,2700,Control
0.709,2700,Control
0.87,2700,Control
0.797,2700,Control
0.841,2700,Control
0.817,2700,Control
0.687,2700,Control
0.845,2700,Control
0.834,2700,Control
0.768,2700,Control
0.803,2700,Control
0.657,2700,Control
0.721,2700,Control
0.718,2700,Control
0.803,2700,Control
0.821,2700,Control
0.843,2700,Control
0.661,2700,Control
0.626,2700,Control
0.834,2700,Control
0.821,2700,Control
0.808,2700,Control
0.803,2700,Control
0.825,2700,Control
0.582,2700,Control
0.705,2700,Control
0.728,2700,Control
0.766,2700,Control
0.687,2700,Control
0.631,2700,Control
0.75,2700,Control
0.709,2700,Control
0.817,2700,Control
0.835,2700,Control
0.817,2700,Control
0.799,2700,Control
0.822,2700,Control
0.76,2700,Control
0.777,2700,Control
0.858,2700,Control
0.766,2700,Control
0.707,2700,Control
0.843,2700,Control
0.631,2700,Control
0.705,2700,Control
0.72,2700,Control
0.868,2700,Control
0.823,2700,Control
0.818,2700,Control
0.716,2700,Control
0.756,2700,Control
0.825,2700,Control
0.685,2700,Control
0.847,2700,Control
0.776,2700,Control
0.836,2700,Control
0.842,2700,Control
0.599,2700,Control
0.713,2700,Control
0.714,2700,Control
0.858,2700,Control
0.77,2700,Control
0.57,2700,Control
0.741,2700,Control
0.677,2700,Control
0.777,2700,Control
0.746,2700,Control
0.677,2700,Control
0.585,2700,Control
0.815,2700,Control
0.672,2700,Control
0.825,2700,Control
0.715,2700,Control
0.766,2700,Control
0.843,2700,Control
0.717,2700,Control
0.805,2700,Control
0.871,2700,Control
0.838,2700,Control
0.854,2700,Control
0.858,2700,Control
0.821,2700,Control
0.654,2700,Control
0.796,2700,Control
0.656,2700,Control
0.835,2700,Control
0.756,2700,Control
0.69,2700,Control
0.841,2700,Control
0.728,2700,Control
